PLAYER_ID,PLAYER,SG_T,SG_P,SG_ATG,SP_APP,SG_OTT,Average_Score,ROUNDS,GIR_%,FWY_%,Drive_Distance,VICTORIES,TOP 10
50497,Adrien Dumont de Chassart,-1.207,-0.266,-0.227,-0.379,-0.336,70.55,77,66.22,60.70137096774194,302.6,0,2
55708,Hayden Buckley,-0.746,-0.284,-0.233,-0.298,0.069,71.0,74,65.81,60.70137096774194,298.0,0,2
39975,Michael Kim,0.184,0.084,0.027,0.311,-0.239,69.47,85,70.16,70.37,302.9,0,2
34256,Andrew Putnam,0.297,0.289,0.28,0.212,-0.485,69.89,83,68.92,66.07,280.8,0,2
34563,Chesson Hadley,-0.046,0.265,-0.22,-0.154,0.062,70.11,70,68.43,60.70137096774194,305.0,0,2
27139,David Skinns,-0.159,-0.082,-0.113,0.27,-0.234,70.22,85,69.99,53.57,302.8,0,2
40115,Adam Svensson,0.1,-0.447,0.145,0.344,0.059,70.16,107,67.55,54.55,297.4,0,2
38991,Alejandro Tosti,-0.713,-0.414,-0.244,-0.602,0.547,70.86,72,65.06,64.29,315.6,0,2
46717,Viktor Hovland,0.721,0.269,-0.514,0.458,0.507,70.04,57,67.84,65.0,305.1,0,2
26476,Chez Reavie,-0.198,-0.292,0.137,0.394,-0.437,70.35,72,69.12,60.70137096774194,287.8,0,1
32102,Rickie Fowler,-0.21,0.136,-0.049,-0.117,-0.18,70.74,80,65.01,60.70137096774194,297.7,0,1
29535,Brice Garnett,-0.15,-0.424,0.263,0.185,-0.173,69.81,48,71.06,75.0,289.2,1,1
23108,Matt Kuchar,0.245,0.351,0.245,-0.124,-0.228,70.29,76,66.44,67.86,288.3,0,1
47995,Davis Riley,-0.63,0.289,-0.074,-0.486,-0.36,70.45,76,64.31,53.49,303.6,1,1
50188,S.H. Kim,-0.177,0.491,0.164,-0.626,-0.206,70.22,108,62.17,60.70137096774194,303.9,0,1
52514,Trace Crowe,-0.075,0.074,0.055,-0.069,-0.134,70.0,71,66.5,60.70137096774194,301.8,0,1
52374,Brandon Wu,-0.458,-0.138,0.164,-0.006,-0.478,70.32,84,67.7,60.70137096774194,291.5,0,1
28775,Nate Lashley,0.236,0.047,0.219,0.212,-0.243,69.95,77,69.97,58.93,293.0,0,1
37275,Sam Ryder,-0.422,-0.127,-0.227,0.263,-0.332,70.27,79,67.85,54.55,292.8,0,1
48887,Matt Wallace,0.317,0.069,0.268,0.225,-0.246,69.57,67,69.53,60.70137096774194,298.7,0,1
54783,Dylan Wu,0.045,0.103,0.048,0.18,-0.287,70.06,83,68.13,60.70137096774194,295.6,0,1
46113,Ryan McCormick,-0.786,0.17,-0.284,-0.151,-0.52,70.77,64,68.49,60.70137096774194,306.2,0,1
59442,Parker Coody,-0.289,-0.223,-0.159,0.242,-0.148,70.41,58,66.06,60.70137096774194,303.9,0,1
27214,Kevin Streelman,-0.238,-0.205,-0.044,-0.053,0.064,70.28,72,68.12,64.29,297.5,0,1
32640,Troy Merritt,-0.293,-0.381,0.049,0.163,-0.123,70.36,77,66.07,60.70137096774194,292.8,0,1
37212,Paul Barjon,-1.804,-0.059,-0.932,-0.898,0.085,71.7,57,63.0,60.70137096774194,313.0,0,1
34374,Erik Barnes,-1.868,-0.028,-0.035,-0.662,-1.143,71.72,58,61.63,60.70137096774194,302.3,0,1
27064,Jhonattan Vegas,0.565,-0.28,-0.198,0.433,0.611,69.29,75,72.3,61.02,313.9,1,1
34076,Joel Dahmen,-0.073,-0.693,-0.144,0.486,0.278,70.08,92,71.04,46.43,294.0,0,1
59095,Chris Gotterup,-0.139,-0.083,0.109,-0.419,0.253,70.15,74,67.68,59.09,316.2,1,1
47988,Nick Hardy,-0.093,-0.191,-0.378,0.223,0.253,70.26,87,70.5,42.86,304.5,0,1
50095,Austin Smotherman,0.108,-0.557,-0.027,0.456,0.236,69.92,53,73.17,60.70137096774194,299.8,0,1
35310,Lanto Griffin,-0.133,-0.129,-0.377,0.168,0.204,69.96,76,72.53,39.29,304.8,0,1
47347,Adam Schenk,-0.411,0.026,-0.094,-0.531,0.188,70.75,95,65.16,53.57,302.1,0,1
34021,Bud Cauley,0.313,-0.175,0.15,0.161,0.176,69.74,54,70.58,60.71,299.7,0,1
46441,Robby Shelton,-0.353,0.036,0.351,-0.162,-0.577,70.34,79,64.69,60.70137096774194,291.6,0,1
27129,Luke List,-0.316,-0.01,-0.25,-0.16,0.103,70.36,77,67.97,53.57,304.7,0,1
28420,Ryan Brehm,-1.336,-0.363,-0.521,-0.555,0.103,71.7,63,66.11,60.70137096774194,309.0,0,1
52666,Sami Valimaki,-0.211,0.06,-0.303,-0.036,0.067,70.44,63,65.09,60.70137096774194,299.2,0,1
28252,Seamus Power,0.377,0.041,0.039,0.238,0.059,69.66,96,67.88,28.57,300.3,0,1
47983,Chad Ramey,-0.057,0.406,0.056,-0.402,-0.116,70.08,86,68.81,53.57,293.9,0,1
35617,Martin Trainer,-1.381,0.347,-0.051,-1.028,-0.649,71.46,50,62.11,60.70137096774194,302.2,0,1
48119,Ben Taylor,-1.067,0.113,0.139,-0.644,-0.675,71.26,65,63.71,60.70137096774194,299.4,0,1
32367,Jorge Campillo,0.241,-0.11,0.29,0.157,-0.096,69.92,52,66.35,60.70137096774194,296.7,0,1
26596,Ryan Moore,0.013,-0.58,0.214,0.427,-0.048,70.4,75,68.83,60.70137096774194,288.3,0,1
39327,Ben Silverman,0.717,0.55,0.078,-0.008,0.097,69.41,81,70.09,57.14,293.9,0,1
52453,Nicolai Højgaard,-0.176,-0.231,-0.316,0.359,0.013,71.23,57,65.11,60.70137096774194,309.1,0,1
30163,Henrik Norlander,0.448,-0.178,0.021,0.571,0.034,69.26,66,71.72,75.0,295.3,0,1
51287,Ryo Hisatsune,0.271,0.065,-0.016,0.181,0.041,69.68,88,70.44,55.36,295.4,0,1
31323,Gary Woodland,-0.22,-0.229,-0.312,0.268,0.053,70.68,80,66.25,66.07,313.1,0,1
47806,Raul Pereda,-1.879,0.142,-0.137,-1.047,-0.836,72.1,50,57.33,60.70137096774194,290.1,0,0
33408,Tyson Alexander,-0.883,0.314,0.077,-0.468,-0.806,70.99,78,63.19,60.70137096774194,303.3,0,0
